"","file_name","number_of_clusers_with_p_less_than_0.05","lowest_p_value"
"281","perm_350_Summary.of.stats_Random.Group.Allocation.csv",22,0.000131395832964964
"282","perm_351_Summary.of.stats_Random.Group.Allocation.csv",18,7.5462030123618e-05
"283","perm_352_Summary.of.stats_Random.Group.Allocation.csv",31,0.000155954441812732
"284","perm_353_Summary.of.stats_Random.Group.Allocation.csv",22,0.000676752511459488
"285","perm_354_Summary.of.stats_Random.Group.Allocation.csv",17,0.000624127860642163
"286","perm_355_Summary.of.stats_Random.Group.Allocation.csv",25,0.000112137448115535
"287","perm_356_Summary.of.stats_Random.Group.Allocation.csv",26,7.82276158168448e-05
"288","perm_357_Summary.of.stats_Random.Group.Allocation.csv",19,0.0017997530914545
"289","perm_358_Summary.of.stats_Random.Group.Allocation.csv",12,0.00016836436254308
"290","perm_359_Summary.of.stats_Random.Group.Allocation.csv",15,0.0010360156045509
"291","perm_36_Summary.of.stats_Random.Group.Allocation.csv",11,0.000210548514161916
"292","perm_360_Summary.of.stats_Random.Group.Allocation.csv",25,0.000314098121115923
"293","perm_361_Summary.of.stats_Random.Group.Allocation.csv",22,0.000322466232984973
"294","perm_362_Summary.of.stats_Random.Group.Allocation.csv",22,8.48433004439314e-05
"295","perm_363_Summary.of.stats_Random.Group.Allocation.csv",30,4.79322537870584e-05
"296","perm_364_Summary.of.stats_Random.Group.Allocation.csv",24,2.24508327469465e-05
"297","perm_365_Summary.of.stats_Random.Group.Allocation.csv",18,0.00141748210976213
"298","perm_366_Summary.of.stats_Random.Group.Allocation.csv",20,0.000206876064306325
"299","perm_367_Summary.of.stats_Random.Group.Allocation.csv",18,0.00297833723428581
"300","perm_368_Summary.of.stats_Random.Group.Allocation.csv",13,0.000753030215316561
"301","perm_369_Summary.of.stats_Random.Group.Allocation.csv",17,0.000114401822954541
"302","perm_37_Summary.of.stats_Random.Group.Allocation.csv",23,0.000208307364318392
"303","perm_370_Summary.of.stats_Random.Group.Allocation.csv",24,0.000774267678713354
"304","perm_371_Summary.of.stats_Random.Group.Allocation.csv",30,0.00267324704806002
"305","perm_372_Summary.of.stats_Random.Group.Allocation.csv",21,9.80497470125464e-05
